This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Account Statement for D-68011054 (margin) since 8/15/25 through 4/6/26

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
8/15/25,01:00:00,BAL,,Cash balance at the start of business day 15.08 CST,,,,"100,000.00"
8/16/25,01:00:00,BAL,,Cash balance at the start of business day 16.08 CST,,,,"100,000.00"
8/17/25,01:00:00,BAL,,Cash balance at the start of business day 17.08 CST,,,,"100,000.00"
8/18/25,01:00:00,BAL,,Cash balance at the start of business day 18.08 CST,,,,"100,000.00"
8/19/25,01:00:00,BAL,,Cash balance at the start of business day 19.08 CST,,,,"100,000.00"
8/20/25,01:00:00,BAL,,Cash balance at the start of business day 20.08 CST,,,,"100,000.00"
8/21/25,01:00:00,BAL,,Cash balance at the start of business day 21.08 CST,,,,"100,000.00"
8/22/25,01:00:00,BAL,,Cash balance at the start of business day 22.08 CST,,,,"100,000.00"
8/23/25,01:00:00,BAL,,Cash balance at the start of business day 23.08 CST,,,,"100,000.00"
8/24/25,01:00:00,BAL,,Cash balance at the start of business day 24.08 CST,,,,"100,000.00"
8/25/25,01:00:00,BAL,,Cash balance at the start of business day 25.08 CST,,,,"100,000.00"
8/26/25,01:00:00,BAL,,Cash balance at the start of business day 26.08 CST,,,,"100,000.00"
8/27/25,01:00:00,BAL,,Cash balance at the start of business day 27.08 CST,,,,"100,000.00"
8/28/25,01:00:00,BAL,,Cash balance at the start of business day 28.08 CST,,,,"100,000.00"
8/29/25,01:00:00,BAL,,Cash balance at the start of business day 29.08 CST,,,,"100,000.00"
8/30/25,01:00:00,BAL,,Cash balance at the start of business day 30.08 CST,,,,"100,000.00"
8/31/25,01:00:00,BAL,,Cash balance at the start of business day 31.08 CST,,,,"100,000.00"
9/1/25,01:00:00,BAL,,Cash balance at the start of business day 01.09 CST,,,,"100,000.00"
9/2/25,01:00:00,BAL,,Cash balance at the start of business day 02.09 CST,,,,"100,000.00"
9/3/25,01:00:00,BAL,,Cash balance at the start of business day 03.09 CST,,,,"100,000.00"
9/4/25,01:00:00,BAL,,Cash balance at the start of business day 04.09 CST,,,,"100,000.00"
9/5/25,01:00:00,BAL,,Cash balance at the start of business day 05.09 CST,,,,"100,000.00"
9/6/25,01:00:00,BAL,,Cash balance at the start of business day 06.09 CST,,,,"100,000.00"
9/7/25,01:00:00,BAL,,Cash balance at the start of business day 07.09 CST,,,,"100,000.00"
9/8/25,01:00:00,BAL,,Cash balance at the start of business day 08.09 CST,,,,"100,000.00"
9/9/25,01:00:00,BAL,,Cash balance at the start of business day 09.09 CST,,,,"100,000.00"
9/10/25,01:00:00,BAL,,Cash balance at the start of business day 10.09 CST,,,,"100,000.00"
9/11/25,01:00:00,BAL,,Cash balance at the start of business day 11.09 CST,,,,"100,000.00"
9/12/25,01:00:00,BAL,,Cash balance at the start of business day 12.09 CST,,,,"100,000.00"
9/13/25,01:00:00,BAL,,Cash balance at the start of business day 13.09 CST,,,,"100,000.00"
9/14/25,01:00:00,BAL,,Cash balance at the start of business day 14.09 CST,,,,"100,000.00"
9/15/25,01:00:00,BAL,,Cash balance at the start of business day 15.09 CST,,,,"100,000.00"
9/16/25,01:00:00,BAL,,Cash balance at the start of business day 16.09 CST,,,,"100,000.00"
9/17/25,01:00:00,BAL,,Cash balance at the start of business day 17.09 CST,,,,"100,000.00"
9/18/25,01:00:00,BAL,,Cash balance at the start of business day 18.09 CST,,,,"100,000.00"
9/19/25,01:00:00,BAL,,Cash balance at the start of business day 19.09 CST,,,,"100,000.00"
9/20/25,01:00:00,BAL,,Cash balance at the start of business day 20.09 CST,,,,"100,000.00"
9/21/25,01:00:00,BAL,,Cash balance at the start of business day 21.09 CST,,,,"100,000.00"
9/22/25,01:00:00,BAL,,Cash balance at the start of business day 22.09 CST,,,,"100,000.00"
9/23/25,01:00:00,BAL,,Cash balance at the start of business day 23.09 CST,,,,"100,000.00"
9/24/25,01:00:00,BAL,,Cash balance at the start of business day 24.09 CST,,,,"100,000.00"
9/25/25,01:00:00,BAL,,Cash balance at the start of business day 25.09 CST,,,,"100,000.00"
9/26/25,01:00:00,BAL,,Cash balance at the start of business day 26.09 CST,,,,"100,000.00"
9/27/25,01:00:00,BAL,,Cash balance at the start of business day 27.09 CST,,,,"100,000.00"
9/28/25,01:00:00,BAL,,Cash balance at the start of business day 28.09 CST,,,,"100,000.00"
9/29/25,01:00:00,BAL,,Cash balance at the start of business day 29.09 CST,,,,"100,000.00"
9/30/25,01:00:00,BAL,,Cash balance at the start of business day 30.09 CST,,,,"100,000.00"
10/1/25,01:00:00,BAL,,Cash balance at the start of business day 01.10 CST,,,,"100,000.00"
10/2/25,01:00:00,BAL,,Cash balance at the start of business day 02.10 CST,,,,"100,000.00"
10/3/25,01:00:00,BAL,,Cash balance at the start of business day 03.10 CST,,,,"100,000.00"
10/4/25,01:00:00,BAL,,Cash balance at the start of business day 04.10 CST,,,,"100,000.00"
10/5/25,01:00:00,BAL,,Cash balance at the start of business day 05.10 CST,,,,"100,000.00"
10/6/25,01:00:00,BAL,,Cash balance at the start of business day 06.10 CST,,,,"100,000.00"
10/7/25,01:00:00,BAL,,Cash balance at the start of business day 07.10 CST,,,,"100,000.00"
10/8/25,01:00:00,BAL,,Cash balance at the start of business day 08.10 CST,,,,"100,000.00"
10/9/25,01:00:00,BAL,,Cash balance at the start of business day 09.10 CST,,,,"100,000.00"
10/10/25,01:00:00,BAL,,Cash balance at the start of business day 10.10 CST,,,,"100,000.00"
10/11/25,01:00:00,BAL,,Cash balance at the start of business day 11.10 CST,,,,"100,000.00"
10/12/25,01:00:00,BAL,,Cash balance at the start of business day 12.10 CST,,,,"100,000.00"
10/13/25,01:00:00,BAL,,Cash balance at the start of business day 13.10 CST,,,,"100,000.00"
10/14/25,01:00:00,BAL,,Cash balance at the start of business day 14.10 CST,,,,"100,000.00"
10/15/25,01:00:00,BAL,,Cash balance at the start of business day 15.10 CST,,,,"100,000.00"
10/16/25,01:00:00,BAL,,Cash balance at the start of business day 16.10 CST,,,,"100,000.00"
10/17/25,01:00:00,BAL,,Cash balance at the start of business day 17.10 CST,,,,"100,000.00"
10/18/25,01:00:00,BAL,,Cash balance at the start of business day 18.10 CST,,,,"100,000.00"
10/19/25,01:00:00,BAL,,Cash balance at the start of business day 19.10 CST,,,,"100,000.00"
10/20/25,01:00:00,BAL,,Cash balance at the start of business day 20.10 CST,,,,"100,000.00"
10/21/25,01:00:00,BAL,,Cash balance at the start of business day 21.10 CST,,,,"100,000.00"
10/22/25,01:00:00,BAL,,Cash balance at the start of business day 22.10 CST,,,,"100,000.00"
10/23/25,01:00:00,BAL,,Cash balance at the start of business day 23.10 CST,,,,"100,000.00"
10/24/25,01:00:00,BAL,,Cash balance at the start of business day 24.10 CST,,,,"100,000.00"
10/25/25,01:00:00,BAL,,Cash balance at the start of business day 25.10 CST,,,,"100,000.00"
10/26/25,01:00:00,BAL,,Cash balance at the start of business day 26.10 CST,,,,"100,000.00"
10/27/25,01:00:00,BAL,,Cash balance at the start of business day 27.10 CST,,,,"100,000.00"
10/28/25,01:00:00,BAL,,Cash balance at the start of business day 28.10 CST,,,,"100,000.00"
10/29/25,01:00:00,BAL,,Cash balance at the start of business day 29.10 CST,,,,"100,000.00"
10/30/25,01:00:00,BAL,,Cash balance at the start of business day 30.10 CST,,,,"100,000.00"
10/31/25,01:00:00,BAL,,Cash balance at the start of business day 31.10 CST,,,,"100,000.00"
11/1/25,01:00:00,BAL,,Cash balance at the start of business day 01.11 CST,,,,"100,000.00"
11/2/25,01:00:00,BAL,,Cash balance at the start of business day 02.11 CST,,,,"100,000.00"
11/3/25,01:00:00,BAL,,Cash balance at the start of business day 03.11 CST,,,,"100,000.00"
11/4/25,01:00:00,BAL,,Cash balance at the start of business day 04.11 CST,,,,"100,000.00"
11/5/25,01:00:00,BAL,,Cash balance at the start of business day 05.11 CST,,,,"100,000.00"
