This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Account Statement for D-68011053 (margin) since 8/15/25 through 4/6/26

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
8/15/25,01:00:00,BAL,,Cash balance at the start of business day 15.08 CST,,,,"100,000.00"
8/16/25,01:00:00,BAL,,Cash balance at the start of business day 16.08 CST,,,,"100,000.00"
8/17/25,01:00:00,BAL,,Cash balance at the start of business day 17.08 CST,,,,"100,000.00"
8/18/25,01:00:00,BAL,,Cash balance at the start of business day 18.08 CST,,,,"100,000.00"
8/19/25,01:00:00,BAL,,Cash balance at the start of business day 19.08 CST,,,,"100,000.00"
8/20/25,01:00:00,BAL,,Cash balance at the start of business day 20.08 CST,,,,"100,000.00"
8/21/25,01:00:00,BAL,,Cash balance at the start of business day 21.08 CST,,,,"100,000.00"
8/22/25,01:00:00,BAL,,Cash balance at the start of business day 22.08 CST,,,,"100,000.00"
8/23/25,01:00:00,BAL,,Cash balance at the start of business day 23.08 CST,,,,"100,000.00"
8/24/25,01:00:00,BAL,,Cash balance at the start of business day 24.08 CST,,,,"100,000.00"
8/25/25,01:00:00,BAL,,Cash balance at the start of business day 25.08 CST,,,,"100,000.00"
8/26/25,01:00:00,BAL,,Cash balance at the start of business day 26.08 CST,,,,"100,000.00"
8/27/25,01:00:00,BAL,,Cash balance at the start of business day 27.08 CST,,,,"100,000.00"
8/28/25,01:00:00,BAL,,Cash balance at the start of business day 28.08 CST,,,,"100,000.00"
8/29/25,01:00:00,BAL,,Cash balance at the start of business day 29.08 CST,,,,"100,000.00"
8/30/25,01:00:00,BAL,,Cash balance at the start of business day 30.08 CST,,,,"100,000.00"
8/30/25,00:05:42,LIQ,="5228994914",Cash liquidation,,,"100,000.00","200,000.00"
8/30/25,00:06:40,LIQ,="5228994916",Cash liquidation,,,"-199,999.00",1.00
8/30/25,00:07:40,LIQ,="5228994919",Cash liquidation,,,"99,999.00","100,000.00"
8/30/25,00:08:25,LIQ,="5228994921",Cash liquidation,,,"50,000.00","150,000.00"
8/31/25,01:00:00,BAL,,Cash balance at the start of business day 31.08 CST,,,,"150,000.00"
9/1/25,01:00:00,BAL,,Cash balance at the start of business day 01.09 CST,,,,"150,000.00"
9/1/25,21:17:56,LIQ,="5229129845",Cash liquidation,,,"-50,000.00","100,000.00"
9/2/25,01:00:00,BAL,,Cash balance at the start of business day 02.09 CST,,,,"100,000.00"
9/2/25,11:19:29,TRD,="5229435487",BOT +4 BWXT 100 21 NOV 25 160 CALL @10.85,-0.02,-2.60,"-4,340.00","95,657.38"
9/2/25,11:21:13,TRD,="5229438348",BOT +5 BWXT 100 17 OCT 25 155 CALL @10.40,-0.03,-3.25,"-5,200.00","90,454.10"
9/3/25,01:00:00,BAL,,Cash balance at the start of business day 03.09 CST,,,,"90,454.10"
9/3/25,11:07:23,TRD,="5230016303",BOT +1 AMZN 100 19 DEC 25 230 CALL @13.75,-0.01,-0.65,"-1,375.00","89,078.44"
9/3/25,11:07:57,TRD,="5230014704",SOLD -1 AMZN 100 19 DEC 25 230 PUT @14.55,-0.03,-0.65,"1,455.00","90,532.76"
9/3/25,12:50:16,TRD,="5230122565",BOT +2 GLD 100 19 DEC 25 335 CALL @11.35,-0.01,-1.30,"-2,270.00","88,261.45"
9/4/25,01:00:00,BAL,,Cash balance at the start of business day 04.09 CST,,,,"88,261.45"
9/4/25,09:39:43,TRD,="5230421397",BOT +1 AMZN 100 19 DEC 25 230 PUT @11.50,-0.01,-0.65,"-1,150.00","87,110.79"
9/4/25,12:02:32,TRD,="5230690675",BOT +5 URA 100 16 JAN 26 45 CALL @2.08,-0.03,-3.25,"-1,040.00","86,067.51"
9/5/25,01:00:00,BAL,,Cash balance at the start of business day 05.09 CST,,,,"86,067.51"
9/5/25,09:38:49,TRD,="5231032351",BOT +2 STRL 100 17 OCT 25 290 CALL @18.75,-0.01,-1.30,"-3,750.00","82,316.20"
9/5/25,09:41:37,TRD,="5231041602",SOLD -1 STRL 100 17 OCT 25 290 CALL @17.45,-0.04,-0.65,"1,745.00","84,060.51"
9/6/25,01:00:00,BAL,,Cash balance at the start of business day 06.09 CST,,,,"84,060.51"
9/7/25,01:00:00,BAL,,Cash balance at the start of business day 07.09 CST,,,,"84,060.51"
9/8/25,01:00:00,BAL,,Cash balance at the start of business day 08.09 CST,,,,"84,060.51"
9/8/25,09:44:12,TRD,="5231715592",BOT +1 ASML 100 19 DEC 25 800 CALL @56.20,-0.01,-0.50,"-5,620.00","78,440.00"
9/8/25,09:48:14,TRD,="5231728813",SOLD -1 JPM 100 17 OCT 25 280 PUT @4.85,-0.02,-0.50,485.00,"78,924.48"
9/8/25,09:59:30,TRD,="5231750398",SOLD -1 PLTR 100 17 OCT 25 140 PUT @3.70,-0.02,-0.50,370.00,"79,293.96"
9/9/25,01:00:00,BAL,,Cash balance at the start of business day 09.09 CST,,,,"79,293.96"
9/10/25,01:00:00,BAL,,Cash balance at the start of business day 10.09 CST,,,,"79,293.96"
9/11/25,01:00:00,BAL,,Cash balance at the start of business day 11.09 CST,,,,"79,293.96"
9/12/25,01:00:00,BAL,,Cash balance at the start of business day 12.09 CST,,,,"79,293.96"
9/12/25,13:58:29,TRD,="5234445568",SOLD -1 RKLB 100 (Weeklys) 10 OCT 25 50 PUT @3.05,-0.02,-0.65,305.00,"79,598.29"
9/12/25,14:00:00,TRD,="5234446977",SOLD -1 SMR 100 17 OCT 25 35 PUT @3.25,-0.02,-0.65,325.00,"79,922.62"
9/12/25,14:03:07,TRD,="5234449546",SOLD -1 GOOG 100 17 OCT 25 240 PUT @6.75,-0.02,-0.65,675.00,"80,596.95"
9/12/25,15:26:16,TRD,="5234512438",tIP SOLD -1 STRL 100 17 OCT 25 290 CALL @35.10,-0.07,-0.65,"3,510.00","84,106.23"
9/12/25,15:26:48,TRD,="5234512470",tIP SOLD -1 BWXT 100 17 OCT 25 155 CALL @16.45,-0.04,-0.65,"1,645.00","85,750.54"
9/13/25,01:00:00,BAL,,Cash balance at the start of business day 13.09 CST,,,,"85,750.54"
9/14/25,01:00:00,BAL,,Cash balance at the start of business day 14.09 CST,,,,"85,750.54"
9/15/25,01:00:00,BAL,,Cash balance at the start of business day 15.09 CST,,,,"85,750.54"
9/15/25,12:45:31,TRD,="5234981428",SOLD -2 BWXT 100 17 OCT 25 155 CALL @18.90,-0.07,-1.30,"3,780.00","89,529.17"
9/16/25,01:00:00,BAL,,Cash balance at the start of business day 16.09 CST,,,,"89,529.17"
9/16/25,09:49:02,TRD,="5235282917",BOT +4 VRT 100 21 NOV 25 140 CALL @14.35,-0.02,-2.60,"-5,740.00","83,786.55"
9/16/25,10:02:48,TRD,="5235322004",BOT +4 TSM 100 16 JAN 26 270 CALL @19.75,-0.02,-2.60,"-7,900.00","75,883.93"
9/17/25,01:00:00,BAL,,Cash balance at the start of business day 17.09 CST,,,,"75,883.93"
9/18/25,01:00:00,BAL,,Cash balance at the start of business day 18.09 CST,,,,"75,883.93"
9/18/25,09:57:03,TRD,="5236452966",BOT +200 SDS @14.87,,,"-2,974.00","72,909.93"
9/18/25,10:17:30,TRD,="5236506632",BOT +2 VIX 100 22 OCT 25 [AM] 20 CALL @1.15,-0.49,-1.30,-230.00,"72,678.14"
9/19/25,01:00:00,BAL,,Cash balance at the start of business day 19.09 CST,,,,"72,678.14"
9/19/25,10:02:33,TRD,="5237035449",SOLD -1 BWXT 100 17 OCT 25 155 CALL @21.00,-0.05,-0.65,"2,100.00","74,777.44"
9/20/25,01:00:00,BAL,,Cash balance at the start of business day 20.09 CST,,,,"74,777.44"
9/21/25,01:00:00,BAL,,Cash balance at the start of business day 21.09 CST,,,,"74,777.44"
9/22/25,01:00:00,BAL,,Cash balance at the start of business day 22.09 CST,,,,"74,777.44"
